ID,filter,rell_number,date,hour,minute,seconds,FTS.GZ,JPG
nso_0234_06840,521,FL7341,26Aug73,15,26,5,nso_0234_06840.fts.gz,nso_0234_06840.jpg
nso_0234_07600,521,FL7341,26Aug73,18,3,0,nso_0234_07600.fts.gz,nso_0234_07600.jpg
nso_0234_08360,521,FL7341,26Aug73,20,35,0,nso_0234_08360.fts.gz,nso_0234_08360.jpg
nso_0234_09120,521,FL7342,26Aug73,23,8,25,nso_0234_09120.fts.gz,nso_0234_09120.jpg
nso_0234_09880,521,FL7342,27Aug73,13,27,20,nso_0234_09880.fts.gz,nso_0234_09880.jpg
nso_0234_10640,521,FL7342,27Aug73,16,02,25,nso_0234_10640.fts.gz,nso_0234_10640.jpg
nso_0234_11400,521,FL7342,29Aug73,13,23,20,nso_0234_11400.fts.gz,nso_0234_11400.jpg
nso_0234_12160,521,FL7342,30Aug73,22,42,55,nso_0234_12160.fts.gz,nso_0234_12160.jpg
nso_0234_12920,521,FL7342,31Aug73,16,09,55,nso_0234_12920.fts.gz,nso_0234_12920.jpg
nso_0234_13680,521,FL7342,31Aug73,19,50,25,nso_0234_13680.fts.gz,nso_0234_13680.jpg
nso_0234_14440,521,FL7342,01Sep73,0,36,15,nso_0234_14440.fts.gz,nso_0234_14440.jpg
nso_0234_15200,,,,,,,nso_0234_15200.fts.gz,nso_0234_15200.jpg
nso_0235_00773,527.0,FL7343,01Sep73,19.0,12.0,45.0,nso_0235_00773.fts.gz,nso_0235_00773.jpg
nso_0235_01546,527.0,FL7343,01Sep73,22.0,34.0,50.0,nso_0235_01546.fts.gz,nso_0235_01546.jpg
nso_0235_02319,527.0,FL7344,02Sep73,13.0,21.0,35.0,nso_0235_02319.fts.gz,nso_0235_02319.jpg
nso_0235_03092,527.0,FL7344,02Sep73,13.0,54.0,55.0,nso_0235_03092.fts.gz,nso_0235_03092.jpg
nso_0235_03865,527.0,FL7344,02Sep73,18.0,32.0,10.0,nso_0235_03865.fts.gz,nso_0235_03865.jpg
nso_0235_04638,527.0,FL7345,02Sep73,22.0,2.0,5.0,nso_0235_04638.fts.gz,nso_0235_04638.jpg
nso_0235_05411,527.0,FL7345,03Sep73,0.0,46.0,40.0,nso_0235_05411.fts.gz,nso_0235_05411.jpg
nso_0235_06184,527.0,FL7345,03Sep73,15.0,13.0,10.0,nso_0235_06184.fts.gz,nso_0235_06184.jpg
nso_0235_06957,527.0,FL7346,03Sep73,17.0,52.0,50.0,nso_0235_06957.fts.gz,nso_0235_06957.jpg
nso_0235_07730,527.0,FL7346,03Sep73,20.0,25.0,30.0,nso_0235_07730.fts.gz,nso_0235_07730.jpg
nso_0235_08503,527.0,FL7346,03Sep73,23.0,0.0,5.0,nso_0235_08503.fts.gz,nso_0235_08503.jpg
nso_0235_09276,527.0,FL7347,04Sep73,13.0,35.0,0.0,nso_0235_09276.fts.gz,nso_0235_09276.jpg
nso_0235_10049,527.0,FL7347,04Sep73,16.0,1.0,25.0,nso_0235_10049.fts.gz,nso_0235_10049.jpg
nso_0235_10822,527.0,FL7347,04Sep73,17.0,53.0,40.0,nso_0235_10822.fts.gz,nso_0235_10822.jpg
nso_0235_11595,527.0,FL7348,04Sep73,20.0,25.0,35.0,nso_0235_11595.fts.gz,nso_0235_11595.jpg
nso_0235_12368,527.0,FL7348,04Sep73,22.0,29.0,50.0,nso_0235_12368.fts.gz,nso_0235_12368.jpg
nso_0235_13141,527.0,FL7348,05Sep73,1.0,3.0,5.0,nso_0235_13141.fts.gz,nso_0235_13141.jpg
nso_0235_13914,527.0,FL7349,05Sep73,15.0,51.0,25.0,nso_0235_13914.fts.gz,nso_0235_13914.jpg
nso_0235_14687,527.0,FL7349,05Sep73,18.0,31.0,0.0,nso_0235_14687.fts.gz,nso_0235_14687.jpg
nso_0235_15460,527.0,FL7349,05Sep73,20.0,22.0,20.0,nso_0235_15460.fts.gz,nso_0235_15460.jpg
nso_0236_00888,527.0,FL7350,05Sep73,23.0,2.0,10.0,nso_0236_00888.fts.gz,nso_0236_00888.jpg
nso_0236_01776,527.0,FL7350,06Sep73,0.0,35.0,50.0,nso_0236_01776.fts.gz,nso_0236_01776.jpg
nso_0236_02664,527.0,FL7350,06Sep73,0.0,35.0,50.0,nso_0236_02664.fts.gz,nso_0236_02664.jpg
nso_0236_03552,527.0,FL7351,07Sep73,23.0,40.0,0.0,nso_0236_03552.fts.gz,nso_0236_03552.jpg
nso_0236_04440,527.0,FL7352,08Sep73,15.0,14.0,20.0,nso_0236_04440.fts.gz,nso_0236_04440.jpg
nso_0236_05328,527.0,FL7352,08Sep73,18.0,12.0,10.0,nso_0236_05328.fts.gz,nso_0236_05328.jpg
nso_0236_06216,527.0,FL7352,08Sep73,21.0,7.0,40.0,nso_0236_06216.fts.gz,nso_0236_06216.jpg
nso_0236_07104,527.0,FL7353,09Sep73,0.0,15.0,20.0,nso_0236_07104.fts.gz,nso_0236_07104.jpg
nso_0236_07992,527.0,FL7353,09Sep73,15.0,39.0,20.0,nso_0236_07992.fts.gz,nso_0236_07992.jpg
nso_0236_08880,527.0,FL7354,11Sep73,15.0,25.0,10.0,nso_0236_08880.fts.gz,nso_0236_08880.jpg
nso_0236_09771,527.0,FL7354,11Sep73,22.0,21.0,40.0,nso_0236_09771.fts.gz,nso_0236_09771.jpg
nso_0236_10659,527.0,FL7354,12Sep73,14.0,51.0,20.0,nso_0236_10659.fts.gz,nso_0236_10659.jpg
nso_0236_11547,527.0,FL7355,12Sep73,17.0,54.0,20.0,nso_0236_11547.fts.gz,nso_0236_11547.jpg
nso_0236_12435,527.0,FL7355,12Sep73,20.0,42.0,40.0,nso_0236_12435.fts.gz,nso_0236_12435.jpg
nso_0236_13323,527.0,FL7355,12Sep73,23.0,38.0,5.0,nso_0236_13323.fts.gz,nso_0236_13323.jpg
nso_0236_14211,527.0,FL7356,13Sep73,15.0,27.0,40.0,nso_0236_14211.fts.gz,nso_0236_14211.jpg
nso_0236_15099,527.0,FL7356,13Sep73,18.0,26.0,20.0,nso_0236_15099.fts.gz,nso_0236_15099.jpg
nso_0236_15987,527.0,FL7357,13Sep73,21.0,28.0,40.0,nso_0236_15987.fts.gz,nso_0236_15987.jpg
nso_0236_16875,527.0,FL7357,14Sep73,0.0,28.0,15.0,nso_0236_16875.fts.gz,nso_0236_16875.jpg
nso_0236_17763,527.0,FL7357,14Sep73,15.0,57.0,40.0,nso_0236_17763.fts.gz,nso_0236_17763.jpg
nso_0237_00761,527.0,FL7358,15Sep73,14.0,26.0,15.0,nso_0237_00761.fts.gz,nso_0237_00761.jpg
nso_0237_01522,527.0,FL7358,15Sep73,16.0,58.0,20.0,nso_0237_01522.fts.gz,nso_0237_01522.jpg
nso_0237_02283,527.0,FL7358,15Sep73,19.0,32.0,40.0,nso_0237_02283.fts.gz,nso_0237_02283.jpg
nso_0237_03044,527.0,FL7359,15Sep73,22.0,13.0,20.0,nso_0237_03044.fts.gz,nso_0237_03044.jpg
nso_0237_03805,527.0,FL7359,16Sep73,18.0,18.0,5.0,nso_0237_03805.fts.gz,nso_0237_03805.jpg
nso_0237_04566,527.0,FL7360,16Sep73,21.0,36.0,20.0,nso_0237_04566.fts.gz,nso_0237_04566.jpg
nso_0237_05327,527.0,FL7360,17Sep73,13.0,20.0,25.0,nso_0237_05327.fts.gz,nso_0237_05327.jpg
nso_0237_06088,527.0,FL7360,17Sep73,15.0,16.0,0.0,nso_0237_06088.fts.gz,nso_0237_06088.jpg
nso_0237_06849,527.0,FL7361,17Sep73,17.0,49.0,0.0,nso_0237_06849.fts.gz,nso_0237_06849.jpg
nso_0237_07610,527.0,FL7361,17Sep73,20.0,12.0,15.0,nso_0237_07610.fts.gz,nso_0237_07610.jpg
nso_0237_08371,527.0,FL7361,17Sep73,23.0,41.0,20.0,nso_0237_08371.fts.gz,nso_0237_08371.jpg
nso_0237_09132,527.0,FL7362,18Sep73,17.0,38.0,20.0,nso_0237_09132.fts.gz,nso_0237_09132.jpg
nso_0237_09893,527.0,FL7362,18Sep73,20.0,31.0,0.0,nso_0237_09893.fts.gz,nso_0237_09893.jpg
nso_0237_10654,527.0,FL7362,18Sep73,13.0,25.0,40.0,nso_0237_10654.fts.gz,nso_0237_10654.jpg
nso_0237_11415,527.0,FL7363,19Sep73,16.0,54.0,10.0,nso_0237_11415.fts.gz,nso_0237_11415.jpg
nso_0237_12176,527.0,FL7363,19Sep73,19.0,26.0,20.0,nso_0237_12176.fts.gz,nso_0237_12176.jpg
nso_0237_12937,527.0,FL7363,19Sep73,21.0,58.0,25.0,nso_0237_12937.fts.gz,nso_0237_12937.jpg
nso_0237_13698,527.0,FL7364,20Sep73,13.0,19.0,0.0,nso_0237_13698.fts.gz,nso_0237_13698.jpg
nso_0237_14459,527.0,FL7364,20Sep73,15.0,56.0,15.0,nso_0237_14459.fts.gz,nso_0237_14459.jpg
nso_0237_15220,527.0,FL7364,20Sep73,18.0,27.0,0.0,nso_0237_15220.fts.gz,nso_0237_15220.jpg
nso_0238_00950,527.0,FL7365,20Sep73,22.0,2.0,25.0,nso_0238_00950.fts.gz,nso_0238_00950.jpg
nso_0238_01900,527.0,FL7365,21Sep73,16.0,16.0,40.0,nso_0238_01900.fts.gz,nso_0238_01900.jpg
nso_0238_02850,527.0,FL7366,21Sep73,20.0,25.0,35.0,nso_0238_02850.fts.gz,nso_0238_02850.jpg
nso_0238_03800,527.0,FL7366,22Sep73,13.0,30.0,15.0,nso_0238_03800.fts.gz,nso_0238_03800.jpg
nso_0238_04750,527.0,FL7367,22Sep73,16.0,56.0,15.0,nso_0238_04750.fts.gz,nso_0238_04750.jpg
nso_0238_05700,527.0,FL7367,22Sep73,23.0,36.0,0.0,nso_0238_05700.fts.gz,nso_0238_05700.jpg
nso_0238_06650,527.0,FL7368,23Sep73,16.0,0.0,10.0,nso_0238_06650.fts.gz,nso_0238_06650.jpg
nso_0238_07600,527.0,FL7368,23Sep73,19.0,8.0,0.0,nso_0238_07600.fts.gz,nso_0238_07600.jpg
nso_0238_08550,527.0,FL7369,24Sep73,13.0,34.0,10.0,nso_0238_08550.fts.gz,nso_0238_08550.jpg
nso_0238_09500,527.0,FL7369,24Sep73,16.0,14.0,15.0,nso_0238_09500.fts.gz,nso_0238_09500.jpg
nso_0238_10450,527.0,FL7369,24Sep73,19.0,10.0,40.0,nso_0238_10450.fts.gz,nso_0238_10450.jpg
nso_0238_11400,527.0,FL7370,24Sep73,22.0,15.0,20.0,nso_0238_11400.fts.gz,nso_0238_11400.jpg
nso_0238_12350,527.0,FL7370,25Sep73,16.0,10.0,0.0,nso_0238_12350.fts.gz,nso_0238_12350.jpg
nso_0238_13300,527.0,FL7371,26Sep73,15.0,31.0,0.0,nso_0238_13300.fts.gz,nso_0238_13300.jpg
nso_0238_14250,527.0,FL7371,26Sep73,23.0,56.0,0.0,nso_0238_14250.fts.gz,nso_0238_14250.jpg
nso_0238_15200,527.0,FL7372,28Sep73,13.0,50.0,5.0,nso_0238_15200.fts.gz,nso_0238_15200.jpg
nso_0238_16150,527.0,FL7372,28Sep73,22.0,16.0,0.0,nso_0238_16150.fts.gz,nso_0238_16150.jpg
nso_0238_17100,527.0,FL7373,29Sep73,19.0,23.0,0.0,nso_0238_17100.fts.gz,nso_0238_17100.jpg
nso_0238_18050,527.0,FL7373,30Sep73,17.0,4.0,0.0,nso_0238_18050.fts.gz,nso_0238_18050.jpg
nso_0239_00836,527.0,FL7374,01Sep73,21.0,55.0,0.0,nso_0239_00836.fts.gz,nso_0239_00836.jpg
nso_0239_01672,527.0,FL7374,02Sep73,18.0,30.0,5.0,nso_0239_01672.fts.gz,nso_0239_01672.jpg
nso_0239_02508,527.0,FL7375,03Sep73,16.0,32.0,0.0,nso_0239_02508.fts.gz,nso_0239_02508.jpg
nso_0239_03344,527.0,FL7375,04Sep73,16.0,2.0,0.0,nso_0239_03344.fts.gz,nso_0239_03344.jpg
nso_0239_04180,527.0,FL7376,06Sep73,13.0,40.0,20.0,nso_0239_04180.fts.gz,nso_0239_04180.jpg
nso_0239_05016,527.0,FL7376,06Sep73,23.0,51.0,0.0,nso_0239_05016.fts.gz,nso_0239_05016.jpg
nso_0239_05852,527.0,FL7376,06Oct73,20.0,14.0,0.0,nso_0239_05852.fts.gz,nso_0239_05852.jpg
nso_0239_06688,527.0,FL7377,06Oct73,17.0,30.0,0.0,nso_0239_06688.fts.gz,nso_0239_06688.jpg
nso_0239_07524,527.0,FL7377,09Oct73,14.0,25.0,0.0,nso_0239_07524.fts.gz,nso_0239_07524.jpg
nso_0239_08360,527.0,FL7378,09Oct73,22.0,3.0,0.0,nso_0239_08360.fts.gz,nso_0239_08360.jpg
nso_0239_09196,527.0,FL7378,11Oct73,15.0,6.0,0.0,nso_0239_09196.fts.gz,nso_0239_09196.jpg
nso_0239_10032,527.0,FL7378,11Oct73,22.0,40.0,15.0,nso_0239_10032.fts.gz,nso_0239_10032.jpg
nso_0239_10868,527.0,FL73769,12Oct73,19.0,26.0,0.0,nso_0239_10868.fts.gz,nso_0239_10868.jpg
nso_0239_11704,527.0,FL73769,13Oct73,16.0,13.0,0.0,nso_0239_11704.fts.gz,nso_0239_11704.jpg
nso_0239_12540,527.0,FL73769,13Oct73,23.0,42.0,0.0,nso_0239_12540.fts.gz,nso_0239_12540.jpg
nso_0239_13376,527.0,FL73780,15Oct73,14.0,27.0,0.0,nso_0239_13376.fts.gz,nso_0239_13376.jpg
nso_0239_14212,527.0,FL73780,15Oct73,22.0,3.0,0.0,nso_0239_14212.fts.gz,nso_0239_14212.jpg
nso_0239_15048,527.0,FL73781,16Oct73,18.0,54.0,5.0,nso_0239_15048.fts.gz,nso_0239_15048.jpg
nso_0239_15884,527.0,FL73781,17Oct73,16.0,16.0,0.0,nso_0239_15884.fts.gz,nso_0239_15884.jpg
nso_0239_16720,527.0,FL73781,17Oct73,23.0,50.0,45.0,nso_0239_16720.fts.gz,nso_0239_16720.jpg
nso_0240_00903,527.0,FL73782,18Oct73,20.0,56.0,0.0,nso_0240_00903.fts.gz,nso_0240_00903.jpg
nso_0240_01806,527.0,FL73782,19Oct73,18.0,55.0,15.0,nso_0240_01806.fts.gz,nso_0240_01806.jpg
nso_0240_02709,527.0,FL7383,20Oct73,17.0,1.0,0.0,nso_0240_02709.fts.gz,nso_0240_02709.jpg
nso_0240_03612,527.0,FL7383,21Oct73,14.0,55.0,10.0,nso_0240_03612.fts.gz,nso_0240_03612.jpg
nso_0240_04515,527.0,FL7383,21Oct73,22.0,46.0,0.0,nso_0240_04515.fts.gz,nso_0240_04515.jpg
nso_0240_05418,527.0,FL7384,22Oct73,20.0,47.0,0.0,nso_0240_05418.fts.gz,nso_0240_05418.jpg
nso_0240_06321,527.0,FL7384,23Oct73,18.0,50.0,20.0,nso_0240_06321.fts.gz,nso_0240_06321.jpg
nso_0240_07224,527.0,FL7385,24Oct73,16.0,40.0,0.0,nso_0240_07224.fts.gz,nso_0240_07224.jpg
nso_0240_08127,527.0,FL7385,25Oct73,14.0,40.0,5.0,nso_0240_08127.fts.gz,nso_0240_08127.jpg
nso_0240_09030,527.0,FL7385,25Oct73,23.0,0.0,10.0,nso_0240_09030.fts.gz,nso_0240_09030.jpg
nso_0240_09933,527.0,FL7386,26Oct73,20.0,35.0,20.0,nso_0240_09933.fts.gz,nso_0240_09933.jpg
nso_0240_10836,527.0,FL7386,27Oct73,16.0,29.0,25.0,nso_0240_10836.fts.gz,nso_0240_10836.jpg
nso_0240_11739,527.0,FL7387,27Oct73,23.0,19.0,0.0,nso_0240_11739.fts.gz,nso_0240_11739.jpg
nso_0240_12642,527.0,FL7387,28Oct73,20.0,45.0,0.0,nso_0240_12642.fts.gz,nso_0240_12642.jpg
nso_0240_13545,527.0,FL7387,29Oct73,19.0,15.0,5.0,nso_0240_13545.fts.gz,nso_0240_13545.jpg
nso_0240_14448,527.0,FL7388,30Oct73,17.0,15.0,0.0,nso_0240_14448.fts.gz,nso_0240_14448.jpg
nso_0240_15351,527.0,FL7388,31Oct73,15.0,27.0,0.0,nso_0240_15351.fts.gz,nso_0240_15351.jpg
nso_0240_16254,527.0,FL7388,31Oct73,23.0,37.0,45.0,nso_0240_16254.fts.gz,nso_0240_16254.jpg
nso_0240_17157,527.0,FL7388,31Oct73,21.0,42.0,30.0,nso_0240_17157.fts.gz,nso_0240_17157.jpg
nso_0240_18060,527.0,FL7388,31Oct73,23.0,34.0,25.0,nso_0240_18060.fts.gz,nso_0240_18060.jpg
nso_0241_00933,527.0,FL7390,03Nov73,22.0,30.0,5.0,nso_0241_00933.fts.gz,nso_0241_00933.jpg
nso_0241_01867,527.0,FL7390,05Nov73,17.0,0.0,0.0,nso_0241_01867.fts.gz,nso_0241_01867.jpg
nso_0241_02800,527.0,FL7391,06Nov73,16.0,16.0,0.0,nso_0241_02800.fts.gz,nso_0241_02800.jpg
nso_0241_03733,527.0,FL7391,07Nov73,18.0,25.0,15.0,nso_0241_03733.fts.gz,nso_0241_03733.jpg
nso_0241_04666,527.0,FL7392,08Nov73,17.0,30.0,0.0,nso_0241_04666.fts.gz,nso_0241_04666.jpg
nso_0241_05599,527.0,FL7392,09Nov73,15.0,56.0,0.0,nso_0241_05599.fts.gz,nso_0241_05599.jpg
nso_0241_06532,527.0,FL7393,10Nov73,14.0,33.0,0.0,nso_0241_06532.fts.gz,nso_0241_06532.jpg
nso_0241_07465,527.0,FL7393,11Nov73,15.0,25.0,15.0,nso_0241_07465.fts.gz,nso_0241_07465.jpg
nso_0241_08398,527.0,FL7394,11Nov73,23.0,50.0,30.0,nso_0241_08398.fts.gz,nso_0241_08398.jpg
nso_0241_09331,527.0,FL7394,12Nov73,22.0,10.0,20.0,nso_0241_09331.fts.gz,nso_0241_09331.jpg
nso_0241_10264,527.0,FL7394,13Nov73,21.0,38.0,0.0,nso_0241_10264.fts.gz,nso_0241_10264.jpg
nso_0241_11197,527.0,FL7395,15Nov73,14.0,59.0,25.0,nso_0241_11197.fts.gz,nso_0241_11197.jpg
nso_0241_12130,527.0,FL7395,15Nov73,22.0,34.0,0.0,nso_0241_12130.fts.gz,nso_0241_12130.jpg
nso_0241_13063,527.0,FL7396,16Nov73,20.0,52.0,0.0,nso_0241_13063.fts.gz,nso_0241_13063.jpg
nso_0241_13996,527.0,FL7396,17Nov73,19.0,15.0,5.0,nso_0241_13996.fts.gz,nso_0241_13996.jpg
nso_0241_14929,527.0,FL7397,18Nov73,19.0,5.0,5.0,nso_0241_14929.fts.gz,nso_0241_14929.jpg
nso_0241_15862,527.0,FL7397,21Nov73,16.0,25.0,15.0,nso_0241_15862.fts.gz,nso_0241_15862.jpg
nso_0241_16795,527.0,FL7398,22Nov73,14.0,45.0,10.0,nso_0241_16795.fts.gz,nso_0241_16795.jpg
nso_0241_17728,527.0,FL7398,23Nov73,18.0,42.0,0.0,nso_0241_17728.fts.gz,nso_0241_17728.jpg
nso_0241_18661,527.0,FL7398,23Nov73,18.0,42.0,0.0,nso_0241_18661.fts.gz,nso_0241_18661.jpg
nso_0242_00949,527.0,FL7399,27Nov73,15.0,30.0,40.0,nso_0242_00949.fts.gz,nso_0242_00949.jpg
nso_0242_01898,527.0,FL7399,28Nov73,16.0,20.0,15.0,nso_0242_01898.fts.gz,nso_0242_01898.jpg
nso_0242_02847,527.0,FL7400,29Nov73,15.0,20.0,15.0,nso_0242_02847.fts.gz,nso_0242_02847.jpg
nso_0242_03798,527.0,FL7400,30Nov73,14.0,22.0,0.0,nso_0242_03798.fts.gz,nso_0242_03798.jpg
nso_0242_04747,527.0,FL7401,30Nov73,23.0,8.0,0.0,nso_0242_04747.fts.gz,nso_0242_04747.jpg
nso_0242_05696,527.0,FL7401,01Dec73,22.0,12.0,0.0,nso_0242_05696.fts.gz,nso_0242_05696.jpg
nso_0242_06645,527.0,FL7402,02Dec73,19.0,35.0,15.0,nso_0242_06645.fts.gz,nso_0242_06645.jpg
nso_0242_07594,527.0,FL7402,04Dec73,18.0,59.0,0.0,nso_0242_07594.fts.gz,nso_0242_07594.jpg
nso_0242_08543,527.0,FL7402,05Dec73,18.0,59.0,0.0,nso_0242_08543.fts.gz,nso_0242_08543.jpg
nso_0242_09492,,,,,,,nso_0242_09492.fts.gz,nso_0242_09492.jpg
nso_0242_10441,527.0,FL7403,07Dec73,21.0,24.0,0.0,nso_0242_10441.fts.gz,nso_0242_10441.jpg
nso_0242_11390,527.0,FL7404,09Dec73,20.0,5.0,5.0,nso_0242_11390.fts.gz,nso_0242_11390.jpg
nso_0242_12339,527.0,FL7404,10Dec73,19.0,10.0,10.0,nso_0242_12339.fts.gz,nso_0242_12339.jpg
nso_0242_13288,527.0,FL7405,11Dec73,18.0,34.0,35.0,nso_0242_13288.fts.gz,nso_0242_13288.jpg
nso_0242_14237,527.0,FL7405,12Dec73,17.0,35.0,5.0,nso_0242_14237.fts.gz,nso_0242_14237.jpg
nso_0242_15186,527.0,FL7405,13Dec73,16.0,45.0,5.0,nso_0242_15186.fts.gz,nso_0242_15186.jpg
nso_0242_16135,527.0,FL7405,14Dec73,16.0,30.0,10.0,nso_0242_16135.fts.gz,nso_0242_16135.jpg
nso_0242_17087,527.0,FL7407,15Dec73,15.0,55.0,20.0,nso_0242_17087.fts.gz,nso_0242_17087.jpg
nso_0242_18036,527.0,FL7407,16Dec73,15.0,0.0,15.0,nso_0242_18036.fts.gz,nso_0242_18036.jpg
nso_0242_18985,,,,,,,nso_0242_18985.fts.gz,nso_0242_18985.jpg
nso_0243_00810,527.0,FL7406,18Dec73,15.0,25.0,10.0,nso_0243_00810.fts.gz,nso_0243_00810.jpg
nso_0243_01620,527.0,FL7408,19Dec73,21.0,10.0,20.0,nso_0243_01620.fts.gz,nso_0243_01620.jpg
nso_0243_02430,527.0,FL7409,20Dec73,19.0,45.0,20.0,nso_0243_02430.fts.gz,nso_0243_02430.jpg
nso_0243_03240,527.0,FL7409,21Dec73,17.0,11.0,40.0,nso_0243_03240.fts.gz,nso_0243_03240.jpg
nso_0243_04050,527.0,FL7409,22Dec73,14.0,40.0,20.0,nso_0243_04050.fts.gz,nso_0243_04050.jpg
nso_0243_04860,527.0,FL7410,25Dec73,16.0,33.0,0.0,nso_0243_04860.fts.gz,nso_0243_04860.jpg
nso_0243_05670,527.0,FL7410,27Dec73,14.0,56.0,0.0,nso_0243_05670.fts.gz,nso_0243_05670.jpg
nso_0243_06480,527.0,FL7411,28Dec73,16.0,40.0,0.0,nso_0243_06480.fts.gz,nso_0243_06480.jpg
nso_0243_07290,527.0,FL7411,29Dec73,15.0,0.0,5.0,nso_0243_07290.fts.gz,nso_0243_07290.jpg
nso_0243_08100,527.0,FL7411,29Dec73,22.0,30.0,0.0,nso_0243_08100.fts.gz,nso_0243_08100.jpg
nso_0243_08910,,,,,,,nso_0243_08910.fts.gz,nso_0243_08910.jpg
nso_0243_09720,,,,,,,nso_0243_09720.fts.gz,nso_0243_09720.jpg
nso_0243_10530,521,FL7413,Jan74,21,59,0,nso_0243_10530.fts.gz,nso_0243_10530.jpg
nso_0243_11340,527.0,FL7413,10Jan74,17.0,27.0,35.0,nso_0243_11340.fts.gz,nso_0243_11340.jpg
nso_0243_12150,527.0,FL7414,11Jan74,16.0,5.0,5.0,nso_0243_12150.fts.gz,nso_0243_12150.jpg
nso_0243_12960,527.0,FL7414,12Jan74,14.0,46.0,0.0,nso_0243_12960.fts.gz,nso_0243_12960.jpg
nso_0243_13770,527.0,FL7415,12Jan74,21.0,15.0,10.0,nso_0243_13770.fts.gz,nso_0243_13770.jpg
nso_0243_14580,527.0,FL7415,13Jan74,19.0,50.0,25.0,nso_0243_14580.fts.gz,nso_0243_14580.jpg
nso_0243_15390,527.0,FL7415,13Jan74,22.0,32.0,25.0,nso_0243_15390.fts.gz,nso_0243_15390.jpg
nso_0243_16200,527.0,FL7415,14Jan74,16.0,24.0,40.0,nso_0243_16200.fts.gz,nso_0243_16200.jpg
nso_0244_00754,527.0,FL7416,14Jan74,19.0,16.0,20.0,nso_0244_00754.fts.gz,nso_0244_00754.jpg
nso_0244_01508,527.0,FL7416,14Jan74,21.0,47.0,20.0,nso_0244_01508.fts.gz,nso_0244_01508.jpg
nso_0244_02262,527.0,FL7417,15Jan74,14.0,40.0,25.0,nso_0244_02262.fts.gz,nso_0244_02262.jpg
nso_0244_03016,527.0,FL7417,15Jan74,17.0,18.0,0.0,nso_0244_03016.fts.gz,nso_0244_03016.jpg
nso_0244_03770,527.0,FL7417,15Jan74,19.0,48.0,15.0,nso_0244_03770.fts.gz,nso_0244_03770.jpg
